State,District,Season,Climate_Zone,Avg_Temperature_C,Avg_Rainfall_mm,Avg_Humidity_%,Soil_Type,Soil_pH
Arunachal Pradesh,Siang,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.1
Arunachal Pradesh,Siang,Rabi,Mountain,21.6,371,50,Mountain Soil,6.1
Arunachal Pradesh,Siang,Zaid,Mountain,31.6,247,45,Mountain Soil,6.1
Arunachal Pradesh,Tawang,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.0
Arunachal Pradesh,Tawang,Rabi,Mountain,21.6,371,50,Mountain Soil,6.0
Arunachal Pradesh,Tawang,Zaid,Mountain,31.6,247,45,Mountain Soil,6.0
Arunachal Pradesh,Tirap,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.6
Arunachal Pradesh,Tirap,Rabi,Mountain,21.6,371,50,Mountain Soil,6.6
Arunachal Pradesh,Tirap,Zaid,Mountain,31.6,247,45,Mountain Soil,6.6
Arunachal Pradesh,Upper Siang,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.1
Arunachal Pradesh,Upper Siang,Rabi,Mountain,21.6,371,50,Mountain Soil,6.1
Arunachal Pradesh,Upper Siang,Zaid,Mountain,31.6,247,45,Mountain Soil,6.1
Arunachal Pradesh,Upper Subansiri,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.5
Arunachal Pradesh,Upper Subansiri,Rabi,Mountain,21.6,371,50,Mountain Soil,6.5
Arunachal Pradesh,Upper Subansiri,Zaid,Mountain,31.6,247,45,Mountain Soil,6.5
Arunachal Pradesh,West Kameng,Kharif,Mountain,24.6,1484,65,Mountain Soil,7.0
Arunachal Pradesh,West Kameng,Rabi,Mountain,21.6,371,50,Mountain Soil,7.0
Arunachal Pradesh,West Kameng,Zaid,Mountain,31.6,247,45,Mountain Soil,7.0
Arunachal Pradesh,West Siang,Kharif,Mountain,24.6,1484,65,Mountain Soil,6.0
Arunachal Pradesh,West Siang,Rabi,Mountain,21.6,371,50,Mountain Soil,6.0
Arunachal Pradesh,West Siang,Zaid,Mountain,31.6,247,45,Mountain Soil,6.0
Assam,Baksa,Kharif,Tropical,21.4,2563,81,Alluvial,6.6
Assam,Baksa,Rabi,Tropical,18.4,512,66,Alluvial,6.6
Assam,Baksa,Zaid,Tropical,28.4,341,61,Alluvial,6.6
Assam,Barpeta,Kharif,Tropical,21.4,2563,81,Alluvial,7.3
Assam,Barpeta,Rabi,Tropical,18.4,512,66,Alluvial,7.3
Assam,Barpeta,Zaid,Tropical,28.4,341,61,Alluvial,7.3
Assam,Biswanath,Kharif,Tropical,21.4,2563,81,Alluvial,6.9
Assam,Biswanath,Rabi,Tropical,18.4,512,66,Alluvial,6.9
Assam,Biswanath,Zaid,Tropical,28.4,341,61,Alluvial,6.9
Assam,Bongaigaon,Kharif,Tropical,21.4,2563,81,Alluvial,6.9
Assam,Bongaigaon,Rabi,Tropical,18.4,512,66,Alluvial,6.9
Assam,Bongaigaon,Zaid,Tropical,28.4,341,61,Alluvial,6.9
Assam,Cachar,Kharif,Tropical,21.4,2563,81,Alluvial,7.1
Assam,Cachar,Rabi,Tropical,18.4,512,66,Alluvial,7.1
Assam,Cachar,Zaid,Tropical,28.4,341,61,Alluvial,7.1
Assam,Charaideo,Kharif,Tropical,21.4,2563,81,Alluvial,7.2
Assam,Charaideo,Rabi,Tropical,18.4,512,66,Alluvial,7.2
Assam,Charaideo,Zaid,Tropical,28.4,341,61,Alluvial,7.2
Assam,Chirang,Kharif,Tropical,21.4,2563,81,Alluvial,7.1
Assam,Chirang,Rabi,Tropical,18.4,512,66,Alluvial,7.1
Assam,Chirang,Zaid,Tropical,28.4,341,61,Alluvial,7.1
Assam,Darrang,Kharif,Tropical,21.4,2563,81,Alluvial,7.3
Assam,Darrang,Rabi,Tropical,18.4,512,66,Alluvial,7.3
Assam,Darrang,Zaid,Tropical,28.4,341,61,Alluvial,7.3
Assam,Dhemaji,Kharif,Tropical,21.4,2563,81,Alluvial,6.6
Assam,Dhemaji,Rabi,Tropical,18.4,512,66,Alluvial,6.6
Assam,Dhemaji,Zaid,Tropical,28.4,341,61,Alluvial,6.6
Assam,Dhubri,Kharif,Tropical,21.4,2563,81,Alluvial,6.5
Assam,Dhubri,Rabi,Tropical,18.4,512,66,Alluvial,6.5
Assam,Dhubri,Zaid,Tropical,28.4,341,61,Alluvial,6.5
Assam,Dibrugarh,Kharif,Tropical,22.7,3537,77,Alluvial,7.0
Assam,Dibrugarh,Rabi,Tropical,19.7,707,62,Alluvial,7.0
Assam,Dibrugarh,Zaid,Tropical,29.7,471,57,Alluvial,7.0
Assam,Goalpara,Kharif,Tropical,21.4,2563,81,Alluvial,7.2
Assam,Goalpara,Rabi,Tropical,18.4,512,66,Alluvial,7.2
Assam,Goalpara,Zaid,Tropical,28.4,341,61,Alluvial,7.2
Assam,Golaghat,Kharif,Tropical,21.4,2563,81,Alluvial,7.1
Assam,Golaghat,Rabi,Tropical,18.4,512,66,Alluvial,7.1
Assam,Golaghat,Zaid,Tropical,28.4,341,61,Alluvial,7.1
Assam,Hailakandi,Kharif,Tropical,21.4,2563,81,Alluvial,7.5
Assam,Hailakandi,Rabi,Tropical,18.4,512,66,Alluvial,7.5
Assam,Hailakandi,Zaid,Tropical,28.4,341,61,Alluvial,7.5
Assam,Hojai,Kharif,Tropical,21.4,2563,81,Alluvial,6.8
Assam,Hojai,Rabi,Tropical,18.4,512,66,Alluvial,6.8
Assam,Hojai,Zaid,Tropical,28.4,341,61,Alluvial,6.8
Assam,Jorhat,Kharif,Tropical,22.3,3103,80,Alluvial,6.8
Assam,Jorhat,Rabi,Tropical,19.3,620,65,Alluvial,6.8
Assam,Jorhat,Zaid,Tropical,29.3,413,60,Alluvial,6.8
Assam,Kamrup,Kharif,Tropical,21.4,2563,81,Alluvial,7.0
Assam,Kamrup,Rabi,Tropical,18.4,512,66,Alluvial,7.0
Assam,Kamrup,Zaid,Tropical,28.4,341,61,Alluvial,7.0
Assam,Kamrup Metropolitan,Kharif,Tropical,21.4,2563,81,Alluvial,6.7
Assam,Kamrup Metropolitan,Rabi,Tropical,18.4,512,66,Alluvial,6.7
Assam,Kamrup Metropolitan,Zaid,Tropical,28.4,341,61,Alluvial,6.7
Assam,Karbi Anglong,Kharif,Tropical,21.4,2563,81,Alluvial,6.8
Assam,Karbi Anglong,Rabi,Tropical,18.4,512,66,Alluvial,6.8
Assam,Karbi Anglong,Zaid,Tropical,28.4,341,61,Alluvial,6.8
Assam,Karimganj,Kharif,Tropical,21.4,2563,81,Alluvial,6.9
Assam,Karimganj,Rabi,Tropical,18.4,512,66,Alluvial,6.9
Assam,Karimganj,Zaid,Tropical,28.4,341,61,Alluvial,6.9
Assam,Kokrajhar,Kharif,Tropical,21.4,2563,81,Alluvial,6.5
Assam,Kokrajhar,Rabi,Tropical,18.4,512,66,Alluvial,6.5
Assam,Kokrajhar,Zaid,Tropical,28.4,341,61,Alluvial,6.5
Assam,Lakhimpur,Kharif,Tropical,21.4,2563,81,Alluvial,7.4
Assam,Lakhimpur,Rabi,Tropical,18.4,512,66,Alluvial,7.4
Assam,Lakhimpur,Zaid,Tropical,28.4,341,61,Alluvial,7.4
Assam,Majuli,Kharif,Tropical,21.4,2563,81,Alluvial,7.0
Assam,Majuli,Rabi,Tropical,18.4,512,66,Alluvial,7.0
Assam,Majuli,Zaid,Tropical,28.4,341,61,Alluvial,7.0
Assam,Morigaon,Kharif,Tropical,21.4,2563,81,Alluvial,7.5
Assam,Morigaon,Rabi,Tropical,18.4,512,66,Alluvial,7.5
Assam,Morigaon,Zaid,Tropical,28.4,341,61,Alluvial,7.5
Assam,Nagaon,Kharif,Tropical,21.4,2563,81,Alluvial,6.8
Assam,Nagaon,Rabi,Tropical,18.4,512,66,Alluvial,6.8
Assam,Nagaon,Zaid,Tropical,28.4,341,61,Alluvial,6.8
Assam,Nalbari,Kharif,Tropical,21.4,2563,81,Alluvial,7.2
Assam,Nalbari,Rabi,Tropical,18.4,512,66,Alluvial,7.2
Assam,Nalbari,Zaid,Tropical,28.4,341,61,Alluvial,7.2
Assam,Dima Hasao,Kharif,Tropical,21.4,2563,81,Alluvial,7.3
Assam,Dima Hasao,Rabi,Tropical,18.4,512,66,Alluvial,7.3
Assam,Dima Hasao,Zaid,Tropical,28.4,341,61,Alluvial,7.3
Assam,Sivasagar,Kharif,Tropical,21.4,2563,81,Alluvial,6.8
Assam,Sivasagar,Rabi,Tropical,18.4,512,66,Alluvial,6.8
Assam,Sivasagar,Zaid,Tropical,28.4,341,61,Alluvial,6.8
Assam,Sonitpur,Kharif,Tropical,21.4,2563,81,Alluvial,7.5
Assam,Sonitpur,Rabi,Tropical,18.4,512,66,Alluvial,7.5
Assam,Sonitpur,Zaid,Tropical,28.4,341,61,Alluvial,7.5
Assam,South Salmara-Mankachar,Kharif,Tropical,21.4,2563,81,Alluvial,7.5
Assam,South Salmara-Mankachar,Rabi,Tropical,18.4,512,66,Alluvial,7.5
Assam,South Salmara-Mankachar,Zaid,Tropical,28.4,341,61,Alluvial,7.5
Assam,Tinsukia,Kharif,Tropical,21.4,2563,81,Alluvial,7.3
Assam,Tinsukia,Rabi,Tropical,18.4,512,66,Alluvial,7.3
Assam,Tinsukia,Zaid,Tropical,28.4,341,61,Alluvial,7.3
Assam,Udalguri,Kharif,Tropical,21.4,2563,81,Alluvial,7.0
Assam,Udalguri,Rabi,Tropical,18.4,512,66,Alluvial,7.0
Assam,Udalguri,Zaid,Tropical,28.4,341,61,Alluvial,7.0
Assam,West Karbi Anglong,Kharif,Tropical,21.4,2563,81,Alluvial,6.5
Assam,West Karbi Anglong,Rabi,Tropical,18.4,512,66,Alluvial,6.5
Assam,West Karbi Anglong,Zaid,Tropical,28.4,341,61,Alluvial,6.5
Bihar,Araria,Kharif,Tropical,24.8,1243,60,Alluvial,7.5
Bihar,Araria,Rabi,Tropical,21.8,248,45,Alluvial,7.5
Bihar,Araria,Zaid,Tropical,31.8,165,40,Alluvial,7.5
Bihar,Arwal,Kharif,Tropical,24.8,1243,60,Alluvial,6.6
Bihar,Arwal,Rabi,Tropical,21.8,248,45,Alluvial,6.6
Bihar,Arwal,Zaid,Tropical,31.8,165,40,Alluvial,6.6
Bihar,Aurangabad,Kharif,Tropical,23.4,1173,62,Alluvial,7.1
Bihar,Aurangabad,Rabi,Tropical,20.4,234,47,Alluvial,7.1
Bihar,Aurangabad,Zaid,Tropical,30.4,156,42,Alluvial,7.1
Bihar,Banka,Kharif,Tropical,24.8,1243,60,Alluvial,6.6
Bihar,Banka,Rabi,Tropical,21.8,248,45,Alluvial,6.6
Bihar,Banka,Zaid,Tropical,31.8,165,40,Alluvial,6.6
Bihar,Begusarai,Kharif,Tropical,24.8,1243,60,Alluvial,7.0
Bihar,Begusarai,Rabi,Tropical,21.8,248,45,Alluvial,7.0
Bihar,Begusarai,Zaid,Tropical,31.8,165,40,Alluvial,7.0
Bihar,Bhagalpur,Kharif,Tropical,24.1,2242,67,Alluvial,7.3
Bihar,Bhagalpur,Rabi,Tropical,21.1,448,52,Alluvial,7.3
Bihar,Bhagalpur,Zaid,Tropical,31.1,299,47,Alluvial,7.3
Bihar,Bhojpur,Kharif,Tropical,24.8,1243,60,Alluvial,6.9
Bihar,Bhojpur,Rabi,Tropical,21.8,248,45,Alluvial,6.9
Bihar,Bhojpur,Zaid,Tropical,31.8,165,40,Alluvial,6.9
Bihar,Buxar,Kharif,Tropical,24.8,1243,60,Alluvial,6.7
Bihar,Buxar,Rabi,Tropical,21.8,248,45,Alluvial,6.7
Bihar,Buxar,Zaid,Tropical,31.8,165,40,Alluvial,6.7
Bihar,Darbhanga,Kharif,Tropical,24.5,1779,63,Alluvial,6.6
Bihar,Darbhanga,Rabi,Tropical,21.5,355,48,Alluvial,6.6
Bihar,Darbhanga,Zaid,Tropical,31.5,237,43,Alluvial,6.6
Bihar,East Champaran,Kharif,Tropical,24.8,1243,60,Alluvial,7.0
Bihar,East Champaran,Rabi,Tropical,21.8,248,45,Alluvial,7.0
Bihar,East Champaran,Zaid,Tropical,31.8,165,40,Alluvial,7.0
Bihar,Gaya,Kharif,Tropical,24.8,1225,59,Alluvial,6.7
Bihar,Gaya,Rabi,Tropical,21.8,245,44,Alluvial,6.7
Bihar,Gaya,Zaid,Tropical,31.8,163,39,Alluvial,6.7
Bihar,Gopalganj,Kharif,Tropical,24.8,1243,60,Alluvial,7.4
Bihar,Gopalganj,Rabi,Tropical,21.8,248,45,Alluvial,7.4
Bihar,Gopalganj,Zaid,Tropical,31.8,165,40,Alluvial,7.4
Bihar,Jamui,Kharif,Tropical,24.8,1243,60,Alluvial,6.8
Bihar,Jamui,Rabi,Tropical,21.8,248,45,Alluvial,6.8
Bihar,Jamui,Zaid,Tropical,31.8,165,40,Alluvial,6.8
Bihar,Jehanabad,Kharif,Tropical,24.8,1243,60,Alluvial,7.3
Bihar,Jehanabad,Rabi,Tropical,21.8,248,45,Alluvial,7.3
Bihar,Jehanabad,Zaid,Tropical,31.8,165,40,Alluvial,7.3
Bihar,Kaimur,Kharif,Tropical,24.8,1243,60,Alluvial,7.3
Bihar,Kaimur,Rabi,Tropical,21.8,248,45,Alluvial,7.3
Bihar,Kaimur,Zaid,Tropical,31.8,165,40,Alluvial,7.3
Bihar,Katihar,Kharif,Tropical,24.8,1243,60,Alluvial,7.1
Bihar,Katihar,Rabi,Tropical,21.8,248,45,Alluvial,7.1
Bihar,Katihar,Zaid,Tropical,31.8,165,40,Alluvial,7.1
Bihar,Khagaria,Kharif,Tropical,24.8,1243,60,Alluvial,7.3
Bihar,Khagaria,Rabi,Tropical,21.8,248,45,Alluvial,7.3
Bihar,Khagaria,Zaid,Tropical,31.8,165,40,Alluvial,7.3
Bihar,Kishanganj,Kharif,Tropical,24.8,1243,60,Alluvial,7.5
Bihar,Kishanganj,Rabi,Tropical,21.8,248,45,Alluvial,7.5
Bihar,Kishanganj,Zaid,Tropical,31.8,165,40,Alluvial,7.5
Bihar,Lakhisarai,Kharif,Tropical,24.8,1243,60,Alluvial,7.0
Bihar,Lakhisarai,Rabi,Tropical,21.8,248,45,Alluvial,7.0
Bihar,Lakhisarai,Zaid,Tropical,31.8,165,40,Alluvial,7.0
Bihar,Madhepura,Kharif,Tropical,24.8,1243,60,Alluvial,6.9
Bihar,Madhepura,Rabi,Tropical,21.8,248,45,Alluvial,6.9
Bihar,Madhepura,Zaid,Tropical,31.8,165,40,Alluvial,6.9
Bihar,Madhubani,Kharif,Tropical,24.8,1243,60,Alluvial,7.2
Bihar,Madhubani,Rabi,Tropical,21.8,248,45,Alluvial,7.2
Bihar,Madhubani,Zaid,Tropical,31.8,165,40,Alluvial,7.2
Bihar,Munger,Kharif,Tropical,24.8,1243,60,Alluvial,7.1
Bihar,Munger,Rabi,Tropical,21.8,248,45,Alluvial,7.1
Bihar,Munger,Zaid,Tropical,31.8,165,40,Alluvial,7.1
Bihar,Muzaffarpur,Kharif,Tropical,24.5,1779,63,Alluvial,7.4
Bihar,Muzaffarpur,Rabi,Tropical,21.5,355,48,Alluvial,7.4
Bihar,Muzaffarpur,Zaid,Tropical,31.5,237,43,Alluvial,7.4
Bihar,Nalanda,Kharif,Tropical,24.8,1243,60,Alluvial,7.1
Bihar,Nalanda,Rabi,Tropical,21.8,248,45,Alluvial,7.1
Bihar,Nalanda,Zaid,Tropical,31.8,165,40,Alluvial,7.1
Bihar,Nawada,Kharif,Tropical,24.8,1243,60,Alluvial,7.2
Bihar,Nawada,Rabi,Tropical,21.8,248,45,Alluvial,7.2
Bihar,Nawada,Zaid,Tropical,31.8,165,40,Alluvial,7.2
Bihar,Patna,Kharif,Tropical,24.8,1243,60,Alluvial,7.4
Bihar,Patna,Rabi,Tropical,21.8,248,45,Alluvial,7.4
Bihar,Patna,Zaid,Tropical,31.8,165,40,Alluvial,7.4
Bihar,Purnia,Kharif,Tropical,24.8,1243,60,Alluvial,7.2
Bihar,Purnia,Rabi,Tropical,21.8,248,45,Alluvial,7.2
Bihar,Purnia,Zaid,Tropical,31.8,165,40,Alluvial,7.2
Bihar,Rohtas,Kharif,Tropical,24.8,1243,60,Alluvial,6.6
Bihar,Rohtas,Rabi,Tropical,21.8,248,45,Alluvial,6.6
Bihar,Rohtas,Zaid,Tropical,31.8,165,40,Alluvial,6.6
Bihar,Saharsa,Kharif,Tropical,24.8,1243,60,Alluvial,6.7
Bihar,Saharsa,Rabi,Tropical,21.8,248,45,Alluvial,6.7
Bihar,Saharsa,Zaid,Tropical,31.8,165,40,Alluvial,6.7
Bihar,Samastipur,Kharif,Tropical,24.8,1243,60,Alluvial,7.3
Bihar,Samastipur,Rabi,Tropical,21.8,248,45,Alluvial,7.3
Bihar,Samastipur,Zaid,Tropical,31.8,165,40,Alluvial,7.3
Bihar,Saran,Kharif,Tropical,24.8,1243,60,Alluvial,7.3
Bihar,Saran,Rabi,Tropical,21.8,248,45,Alluvial,7.3
Bihar,Saran,Zaid,Tropical,31.8,165,40,Alluvial,7.3
Bihar,Sheikhpura,Kharif,Tropical,24.8,1243,60,Alluvial,7.0
Bihar,Sheikhpura,Rabi,Tropical,21.8,248,45,Alluvial,7.0
Bihar,Sheikhpura,Zaid,Tropical,31.8,165,40,Alluvial,7.0
Bihar,Sheohar,Kharif,Tropical,24.8,1243,60,Alluvial,6.8
Bihar,Sheohar,Rabi,Tropical,21.8,248,45,Alluvial,6.8
Bihar,Sheohar,Zaid,Tropical,31.8,165,40,Alluvial,6.8
Bihar,Sitamarhi,Kharif,Tropical,24.8,1243,60,Alluvial,6.5
Bihar,Sitamarhi,Rabi,Tropical,21.8,248,45,Alluvial,6.5
Bihar,Sitamarhi,Zaid,Tropical,31.8,165,40,Alluvial,6.5
Bihar,Siwan,Kharif,Tropical,24.8,1243,60,Alluvial,7.0
Bihar,Siwan,Rabi,Tropical,21.8,248,45,Alluvial,7.0
Bihar,Siwan,Zaid,Tropical,31.8,165,40,Alluvial,7.0
Bihar,Supaul,Kharif,Tropical,24.8,1243,60,Alluvial,7.2
Bihar,Supaul,Rabi,Tropical,21.8,248,45,Alluvial,7.2
Bihar,Supaul,Zaid,Tropical,31.8,165,40,Alluvial,7.2
Bihar,Vaishali,Kharif,Tropical,24.8,1243,60,Alluvial,7.4
Bihar,Vaishali,Rabi,Tropical,21.8,248,45,Alluvial,7.4
Bihar,Vaishali,Zaid,Tropical,31.8,165,40,Alluvial,7.4
Bihar,West Champaran,Kharif,Tropical,24.8,1243,60,Alluvial,7.5
Bihar,West Champaran,Rabi,Tropical,21.8,248,45,Alluvial,7.5
Bihar,West Champaran,Zaid,Tropical,31.8,165,40,Alluvial,7.5
Chhattisgarh,Balod,Kharif,Tropical,24.6,1855,65,Red Laterite,5.7
